ADDRESS,ASSESSED_VALUE,PROPERTY_TYPE,VALUE_CLEAN
1310 396 11 AV SW,"665,500",LI,665500.0
1320 396 11 AV SW,"644,500",LI,644500.0
1400 396 11 AV SW,"905,500",LI,905500.0
1401 2 ST SW,"1,090,000",LI,1090000.0
1403 2 ST SW,"1,090,000",LI,1090000.0
1405 2 ST SW,"1,000,000",LI,1000000.0
1407 2 ST SW,"934,500",LI,934500.0
1409 2 ST SW,"940,500",LI,940500.0
1411 2 ST SW,"982,500",LI,982500.0
1505 5 ST SW,"336,500",LI,336500.0
1507 5 ST SW,"336,500",LI,336500.0
200 1053 10 ST SW,"1,380,000",LI,1380000.0
200 602 12 AV SW,"205,500",LI,205500.0
200 638 11 AV SW,"2,670,000",LI,2670000.0
201 221 10 AV SE,"1,080,000",LI,1080000.0
201 735 12 AV SW,"224,000",LI,224000.0
202 221 10 AV SE,"1,200,000",LI,1200000.0
202 735 12 AV SW,"188,500",LI,188500.0
203 221 10 AV SE,"1,100,000",LI,1100000.0
203 735 12 AV SW,"209,000",LI,209000.0
204 221 10 AV SE,"1,190,000",LI,1190000.0
204 735 12 AV SW,"282,500",LI,282500.0
205 1111 OLYMPIC WY SE,"660,000",LI,660000.0
210 396 11 AV SW,"249,500",LI,249500.0
210 602 12 AV SW,"169,500",LI,169500.0
214 11 AV SE,"2,760,000",LI,2760000.0
217 1111 OLYMPIC WY SE,"717,000",LI,717000.0
220 396 11 AV SW,"425,500",LI,425500.0
222 602 12 AV SW,"421,000",LI,421000.0
226 1111 OLYMPIC WY SE,"2,200,000",LI,2200000.0
229 1111 OLYMPIC WY SE,"1,470,000",LI,1470000.0
230 396 11 AV SW,"472,000",LI,472000.0
235 1111 OLYMPIC WY SE,"403,000",LI,403000.0
240 1111 OLYMPIC WY SE,"450,000",LI,450000.0
240 396 11 AV SW,"307,500",LI,307500.0
241 1111 OLYMPIC WY SE,"1,220,000",LI,1220000.0
248 1111 OLYMPIC WY SE,"1,100,000",LI,1100000.0
2800 817 15 AV SW,"1,780,000",LI,1780000.0
300 1111 OLYMPIC WY SE,"2,540,000",LI,2540000.0
300 602 12 AV SW,"133,500",LI,133500.0
301 221 10 AV SE,"1,100,000",LI,1100000.0
302 221 10 AV SE,"1,210,000",LI,1210000.0
303 221 10 AV SE,"1,090,000",LI,1090000.0
303 638 11 AV SW,"403,500",LI,403500.0
304 221 10 AV SE,"1,200,000",LI,1200000.0
304 638 11 AV SW,"403,500",LI,403500.0
305 638 11 AV SW,"437,000",LI,437000.0
306 638 11 AV SW,"438,000",LI,438000.0
307 638 11 AV SW,"507,500",LI,507500.0
310 396 11 AV SW,"409,500",LI,409500.0
320 396 11 AV SW,"263,000",LI,263000.0
330 396 11 AV SW,"417,500",LI,417500.0
340 396 11 AV SW,"409,500",LI,409500.0
350 396 11 AV SW,"423,000",LI,423000.0
350 602 12 AV SW,"343,500",LI,343500.0
360 602 12 AV SW,"361,000",LI,361000.0
370 602 12 AV SW,"212,000",LI,212000.0
400 602 12 AV SW,"446,500",LI,446500.0
410 396 11 AV SW,"409,500",LI,409500.0
420 396 11 AV SW,"263,000",LI,263000.0
430 396 11 AV SW,"450,500",LI,450500.0
440 396 11 AV SW,"414,000",LI,414000.0
450 396 11 AV SW,"423,000",LI,423000.0
450 602 12 AV SW,"577,500",LI,577500.0
500 602 12 AV SW,"451,500",LI,451500.0
510 396 11 AV SW,"407,000",LI,407000.0
520 396 11 AV SW,"264,500",LI,264500.0
530 396 11 AV SW,"417,000",LI,417000.0
530 602 12 AV SW,"360,000",LI,360000.0
540 396 11 AV SW,"408,000",LI,408000.0
550 396 11 AV SW,"421,500",LI,421500.0
550 602 12 AV SW,"239,500",LI,239500.0
600 602 12 AV SW,"103,500",LI,103500.0
610 396 11 AV SW,"407,500",LI,407500.0
610 602 12 AV SW,"193,000",LI,193000.0
620 396 11 AV SW,"265,500",LI,265500.0
630 396 11 AV SW,"417,500",LI,417500.0
630 602 12 AV SW,"276,500",LI,276500.0
640 396 11 AV SW,"409,500",LI,409500.0
640 602 12 AV SW,"422,500",LI,422500.0
650 396 11 AV SW,"423,500",LI,423500.0
700 602 12 AV SW,"275,000",LI,275000.0
710 396 11 AV SW,"404,500",LI,404500.0
710 602 12 AV SW,"205,500",LI,205500.0
720 396 11 AV SW,"263,500",LI,263500.0
730 396 11 AV SW,"418,000",LI,418000.0
730 602 12 AV SW,"206,000",LI,206000.0
740 396 11 AV SW,"410,000",LI,410000.0
750 396 11 AV SW,"420,000",LI,420000.0
790 602 12 AV SW,"359,000",LI,359000.0
